t,G,F1,F2,F3
872,0.07171,0,null,null
873,0.07387,0,null,null
874,0.07063,0,null,null
875,0.06948,0,null,null
876,0.07279,0,null,null
877,0.07192,0,null,null
878,0.07162,0,null,null
879,0.0743,0,null,null
880,0.07398,0,null,null
881,0.07077,0,null,null
882,0.07008,0,null,null
883,0.07002,0,null,null
884,0.07144,0,null,null
885,0.0725,0,null,null
886,0.07239,0,null,null
887,0.07095,0,null,null
888,0.07079,0,null,null
889,0.07314,0,null,null
890,0.07323,0,null,null
891,0.07349,0,null,null
892,0.0736,0,null,null
893,0.07256,0,null,null
894,0.07266,0,null,null
895,0.07021,0,null,null
896,0.07262,0,null,null
897,0.07219,0,null,null
898,0.0734,0,null,null
899,0.07288,0,null,null
900,0.07123,0,null,null
901,0.07124,0,null,null
902,0.07194,0,null,null
903,0.0705,0,null,null
904,0.07061,0,null,null
905,0.07165,0,null,null
906,0.0734,0,null,null
907,0.07241,0,null,null
908,0.07084,0,null,null
909,0.07022,0,null,null
910,0.07238,0,null,null
911,0.07368,0,null,null
912,0.07338,0,null,null
913,0.07359,0,null,null
914,0.07149,0,null,null
915,0.07177,0,null,null
916,0.07092,0,null,null
917,0.06943,0,null,null
918,0.06959,0,null,null
919,0.07078,0,null,null
920,0.07256,0,null,null
921,0.07293,0,null,null
922,0.07143,0,null,null
923,0.07163,0,null,null
924,0.07373,0,null,null
925,0.0735,0,null,null
926,0.07166,0,null,null
927,0.07211,0,null,null
928,0.07134,0,null,null
929,0.07002,0,null,null
930,0.0715,0,null,null
931,0.06899,0,null,null
932,0.0729,0,null,null
933,0.07113,0,null,null
934,0.07034,0,null,null
935,0.07308,0,null,null
936,0.07195,0,null,null
937,0.07214,0,null,null
938,0.07212,0,null,null
939,0.07407,0,null,null
940,0.07153,0,null,null
941,0.07065,0,null,null
942,0.07163,0,null,null
943,0.07211,0,null,null
944,0.07162,0,null,null
945,0.07083,0,null,null
946,0.07141,0,null,null
947,0.07094,0,null,null
948,0.07586,0,null,null
949,0.07209,0,null,null
950,0.07202,0,null,null
951,0.07408,0,null,null
952,0.0751,0,null,null
953,0.07168,0,null,null
954,0.07361,0,null,null
955,0.07534,0,null,null
956,0.07375,0,null,null
957,0.07388,0,null,null
958,0.06969,0,null,null
959,0.06982,0,null,null
960,0.07014,0,null,null
961,0.07352,0,null,null
962,0.07297,0,null,null
963,0.07347,0,null,null
964,0.07308,0,null,null
965,0.07434,0,null,null
966,0.07263,0,null,null
967,0.07213,0,null,null
968,0.07075,0,null,null
969,0.07135,0,null,null
